CEO,x,y,Gender,Company
Ernie Garcia,-5.315996,5.2205544,Male,CVNA
Michael Manley,-5.416677,5.077307,Male,AN
Bill Nash,-5.0596538,5.0819597,Male,KMX
John Ketchum,-2.7205365,7.957724,Male,NEE
Tho Wilson,-0.47089863,6.4271216,Male,ALL
Bob Pragada,-1.9423153,4.7907076,Male,J
Jim Vena,-1.9290804,5.4491186,Male,UNP
Doug McMillon,-0.0795366,3.5531723,Male,WMT
Bob Eddy,0.1908967,3.3381991,Male,BJ
David Goeckeler,-3.2819,3.4081903,Male,WDC
Bill Rhodes,-5.2587476,5.078116,Male,AZO
Rajesh Subramaniam,-2.0155678,5.7701073,Male,FDX
