Name,File,agree,consc,extra,humility,narc,neuro,openn
Andrew Jassy,Andrew Jassy - AMZN.txt,,,,,,,
Michael Roman,Michael Roman - MMM.txt,,,,,,,
Michael Hennigan,Michael Hennigan - MPC.txt,,,,,,,
Lisa Su,1Lisa Su - AMD.txt,,,,,,,
David Flitman,David Flitman - USFD.txt,,,,,,,
Alan Schnitzer,Alan Schnitzer- TRV.txt,,,,,,,
Carlos Abrams,Carlos Abrams-Rivera - KHC.txt,,,,,,,
Robert Gamgort,Robert Gamgort - KDP.txt,,,,,,,
Tim Archer,Tim Archer - LRCX.txt,,,,,,,
Sasan Goodarzi,Sasan Goodarzi - INTU.txt,,,,,,,
Frank Bisignano,Frank Bisignano - FI.txt,,,,,,,
Andrew Teno,Andrew Teno - IEP.txt,,,,,,,
Dirk Van de Put,Dirk Van de Put - MDLZ.txt,,,,,,,
Maria Black,1Maria Black - ADP.txt,,,,,,,
Ryan Marshall,Ryan Marshall - PHM.txt,,,,,,,
Sarah London,1Sarah London - CNC.txt,,,,,,,
Chris Winfrey,Chris Winfrey - CHTR.txt,,,,,,,
Jose Almeida,Jose Almeida - BAX.txt,,,,,,,
Chuck Magro,Chuck Magro - CTVA.txt,,,,,,,
Chris Kempczinski,Chris Kempczinski - MCD.txt,,,,,,,
Michael K. Wirth,Michael K. Wirth - CVX.txt,,,,,,,
David Cordani,David Cordani - CI.txt,,,,,,,
Pat Bowe,Pat Bowe - ANDE.txt,,,,,,,
Roger Penske,Roger Penske - PAG.txt,,,,,,,
George Holm,George Holm - PFGC.txt,,,,,,,
Rainer Blair,Rainer Blair - DHR.txt,,,,,,,
Noel Wallace,Noel Wallace - CL.txt,,,,,,,
Patrick Gelsinger,Patrick Gelsinger - INTC.txt,,,,,,,
Richard Adkerson,Richard Adkerson - FCX.txt,,,,,,,
Brian Tyler,Brian Tyler - MCK.txt,,,,,,,
Charles Lowrey,Charles Lowrey - PRU.txt,,,,,,,
Erik Nordstrom,Erik Nordstrom - JWN.txt,,,,,,,
Mary Barra,1Mary Barra - GM.txt,,,,,,,
David Gitlin,David Gitlin - CARR.txt,,,,,,,
Lal Karsanbhai,Lal Karsanbhai - EMR.txt,,,,,,,
Ernie Garcia,Ernie Garcia - CVNA.txt,,,,,,,
Michael Manley,Michael Manley - AN.txt,,,,,,,
Bill Nash,Bill Nash - KMX.txt,,,,,,,
John Ketchum,John Ketchum - NEE.txt,,,,,,,
Tho Wilson,Tho Wilson - ALL.txt,,,,,,,
Bob Pragada,Bob Pragada - J.txt,,,,,,,
Jim Vena,Jim Vena - UNP.txt,,,,,,,
Doug McMillon,Doug McMillon - WMT.txt,,,,,,,
Bob Eddy,Bob Eddy - BJ.txt,,,,,,,
David Goeckeler,David Goeckeler - WDC.txt,,,,,,,
Bill Rhodes,Bill Rhodes - AZO.txt,,,,,,,
Rajesh Subramaniam,Rajesh Subramaniam - FDX.txt,,,,,,,
